Rank,Task,Model,Params,Preprocess,Deriv,Window,Poly,LVs,n_vars,full_vars,SubsetTag,RMSE,R2,CompositeScore,top_vars
153,regression,PLS,{'n_components': 8},raw,,,,8,50,500,top50,30.237588342362155,-1.0788390117164182,0.44939187108173695,N/A
154,regression,PLS,{'n_components': 16},deriv,1,7,2,16,50,500,top50,30.372049409032225,-1.0678838536869817,0.48535160672119193,N/A
155,regression,PLS,{'n_components': 8},snv_deriv,1,7,2,8,100,500,top100,30.746713834985737,-1.176094979062718,0.5242620075057107,N/A
156,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,500,500,full,30.90784981489504,-1.2106938812123085,0.5468173673257413,N/A
157,regression,PLS,{'n_components': 20},deriv,1,7,2,20,50,500,top50,30.857782229199145,-1.1488364836974236,0.555501885283459,N/A
158,regression,PLS,{'n_components': 24},deriv,1,7,2,24,50,500,top50,31.09996989839055,-1.1519244790981646,0.5861783093120629,N/A
159,regression,PLS,{'n_components': 10},raw,,,,10,50,500,top50,32.105702088532034,-1.327090850052806,0.6447950323726154,N/A
160,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,50,500,top50,32.67389362212595,-1.391111289400304,0.6579969528814174,N/A
161,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,500,500,full,32.02888287321573,-1.3686076787340167,0.6622315916277772,N/A
162,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,50,500,top50,32.94753733842069,-1.4943189967407724,0.7075462185767121,N/A
163,regression,PLS,{'n_components': 16},snv,,,,16,100,500,top100,33.32160032714068,-1.4625583002845008,0.7961485230717713,N/A
164,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv,,,,,50,500,top50,32.59279763954988,-1.8647499833092211,0.8100076874268318,N/A
165,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,100,500,top100,33.95320623336982,-1.6168127451966672,0.8187570487433427,N/A
166,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,100,500,top100,34.3682185903041,-1.6446516494650272,0.8513606065328077,N/A
167,regression,PLS,{'n_components': 8},snv,,,,8,50,500,top50,33.17954364042712,-1.7985671518738533,0.8532110489888002,N/A
168,regression,PLS,{'n_components': 12},snv_deriv,1,7,2,12,50,500,top50,34.037533802962244,-1.6110787386678762,0.8556050872791651,N/A
169,regression,PLS,{'n_components': 12},raw,,,,12,50,500,top50,34.4268894382163,-1.6769070213851223,0.899321165786242,N/A
170,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,100,500,top100,35.42279504556374,-1.8039119082029849,0.9634728676079909,N/A
171,regression,PLS,{'n_components': 10},snv_deriv,1,7,2,10,100,500,top100,35.2432232604047,-1.9127239832448915,1.0293207503749195,N/A
172,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,50,500,top50,36.600269201105085,-2.0003284607964837,1.0807872911596712,N/A
173,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",deriv,1,7,2,,50,500,top50,36.19242054532565,-2.1031816580338076,1.0917939948535902,N/A
174,regression,PLS,{'n_components': 16},deriv,1,7,2,16,100,500,top100,36.01755661972529,-1.8988718064555188,1.0924013917370035,N/A
175,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,100,500,top100,36.70195320832016,-2.085710159560397,1.1287585984676607,N/A
176,regression,PLS,{'n_components': 20},snv,,,,20,100,500,top100,36.30934646780989,-1.9171627951726353,1.1309006473649832,N/A
177,regression,PLS,{'n_components': 20},deriv,1,7,2,20,100,500,top100,36.06237047183444,-1.9833440046070852,1.1388543895534224,N/A
178,regression,PLS,{'n_components': 16},snv_deriv,1,7,2,16,50,500,top50,36.9556121652491,-2.0966399297707063,1.1966632270000988,N/A
179,regression,PLS,{'n_components': 16},raw,,,,16,50,500,top50,37.186731501621175,-2.141780509074213,1.2246180067480332,N/A
180,regression,PLS,{'n_components': 24},snv,,,,24,100,500,top100,37.804789062563025,-2.1750062966117607,1.3164620353736471,N/A
181,regression,PLS,{'n_components': 20},snv_deriv,1,7,2,20,50,500,top50,38.04643521399035,-2.2634873349109257,1.329327504648746,N/A
182,regression,PLS,{'n_components': 12},snv_deriv,1,7,2,12,100,500,top100,38.336440880339715,-2.506750352759878,1.4081121676460762,N/A
183,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,100,500,top100,39.28980411217218,-2.536498760327165,1.4237014522301763,N/A
184,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,50,500,top50,39.59623121201684,-2.5648195944831937,1.4363307908661958,N/A
185,regression,PLS,{'n_components': 20},raw,,,,20,50,500,top50,39.15036295718617,-2.457260312047356,1.4556321772518932,N/A
186,regression,PLS,{'n_components': 24},deriv,1,7,2,24,100,500,top100,39.014573148821945,-2.434838788000913,1.4705743666447262,N/A
187,regression,PLS,{'n_components': 24},raw,,,,24,50,500,top50,39.51125915586209,-2.515083355891853,1.511097091462299,N/A
188,regression,PLS,{'n_components': 10},snv,,,,10,50,500,top50,38.380043269532635,-2.914242323856922,1.5232749853402578,N/A
189,regression,PLS,{'n_components': 24},snv_deriv,1,7,2,24,50,500,top50,39.548196910052404,-2.5912200651236414,1.538350319371225,N/A
190,regression,PLS,{'n_components': 16},snv_deriv,1,7,2,16,100,500,top100,39.65326866954894,-2.6741301172041965,1.5536955246099362,N/A
191,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",deriv,1,7,2,,100,500,top100,40.99782111878537,-2.813436140177051,1.6115610339821138,N/A
192,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,50,500,top50,41.823489481597214,-3.023826407162145,1.7136588501022987,N/A
193,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,100,500,top100,42.62140748672574,-3.0726114509374134,1.788787990018149,N/A
194,regression,PLS,{'n_components': 20},snv_deriv,1,7,2,20,100,500,top100,43.32561849157565,-3.525814622167084,2.0583216738671046,N/A
195,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.1, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,50,500,top50,44.935602804347816,-3.5383365849618458,2.05922791614725,N/A
196,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 3, 'activation': 'identity'}",snv_deriv,1,7,2,,50,500,top50,46.681201786444255,-3.883399810807014,2.271728686875654,N/A
197,regression,PLS,{'n_components': 24},snv_deriv,1,7,2,24,100,500,top100,45.13975277934539,-3.8455884635056186,2.282326168691735,N/A
198,regression,PLS,{'n_components': 12},snv,,,,12,50,500,top50,45.160474224456415,-4.749626411960151,2.520355192046458,N/A
199,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,100,500,top100,50.05730108964397,-4.756653355701032,2.764792709605901,N/A
200,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv,,,,,50,500,top50,50.50250548789225,-5.592452131517959,3.0521962128424005,N/A
201,regression,NeuralBoosted,"{'n_estimators': 100, 'learning_rate': 0.2, 'hidden_layer_size': 5, 'activation': 'identity'}",snv_deriv,1,7,2,,50,500,top50,53.46619056245229,-5.903982526932857,3.3222918878991288,N/A
202,regression,PLS,{'n_components': 16},snv,,,,16,50,500,top50,56.097439655409495,-7.9110788612375424,4.198191493860439,N/A
203,regression,PLS,{'n_components': 20},snv,,,,20,50,500,top50,59.66694195525853,-8.395706677661147,4.575671042608612,N/A
204,regression,PLS,{'n_components': 24},snv,,,,24,50,500,top50,63.472691266051946,-9.465277783352493,5.1598513401036366,N/A
